id,intencao,referencia,campos_criticos,arquivo,condicao
f01,resolver,já resolvi o reembolso da viagem,,,
f02,resolver,o aditivo do contrato tá fechado,,,
f03,resolver,aprovei a nota fiscal da Camila,Camila,,
f04,resolver,resolvi o pagamento do fornecedor,,,
f05,resolver,terminei a análise da proposta da Acme,Acme,,
f06,resolver,já paguei o adiantamento do Rodrigo,Rodrigo,,
f07,repassar,passa o contrato do fornecedor pro Alexandre no N2 até sexta,Alexandre|N2|sexta,,
f08,repassar,manda a proposta da Acme pra Fernanda no N1,Fernanda|N1|Acme,,
f09,repassar,repassa o reembolso pro Bruno até segunda,Bruno|segunda,,
f10,repassar,delega a compra de duzentos e cinquenta mil pro Rodrigo no N3,duzentos e cinquenta mil|Rodrigo|N3,,
f11,repassar,passa esse pro Ricardo até o dia quinze,Ricardo|dia quinze,,
f12,repassar,fala pro Marcelo tocar o aditivo no N2,Marcelo|N2,,
f13,adiar,esse eu vejo semana que vem,semana que vem,,
f14,adiar,adia o contrato da Acme pra sexta,Acme|sexta,,
f15,adiar,deixa o reembolso pra próxima semana,próxima semana,,
f16,adiar,segura a proposta até segunda,segunda,,
f17,adiar,empurra a compra pro mês que vem,mês que vem,,
f18,adiar,deixa esse pra depois do feriado,feriado,,
f19,registrar,lembra de cobrar o Bruno sobre a nota na segunda,Bruno|segunda,,
f20,registrar,anota pra ligar pra Fernanda amanhã,Fernanda|amanhã,,
f21,registrar,registra a reunião com o fornecedor na sexta,sexta,,
f22,registrar,me lembra de revisar o orçamento dia dez,dia dez,,
f23,registrar,não esquece de aprovar o adiantamento da Camila,Camila,,
f24,registrar,anota cobrar o Ricardo do relatório,Ricardo,,
f25,consultar,o que tá esperando por mim hoje,hoje,,
f26,consultar,o que eu decidi essa semana,essa semana,,
f27,consultar,quanto tem em jogo na fila,,,
f28,consultar,o que travou por causa do financeiro,financeiro,,
f29,consultar,o que eu venho adiando,,,
f30,consultar,o que eu deleguei que ainda tá aberto,,,
